Team,Opponent,Wins,Losses
BAL,BOS,11,8
BAL,CHW,4,3
BAL,CLE,3,4
BAL,DET,4,2
BAL,HOU,4,2
BAL,KC,3,4
BAL,LAA,5,2
BAL,MIN,3,3
BAL,NYY,9,10
BAL,OAK,5,2
BAL,SEA,2,4
BAL,TB,6,13
BAL,TEX,5,2
BAL,TOR,10,9
BOS,BAL,8,11
BOS,CHW,4,2
BOS,CLE,6,1
BOS,DET,3,4
BOS,HOU,6,1
BOS,KC,2,5
BOS,LAA,3,3
BOS,MIN,4,3
BOS,NYY,13,6
BOS,OAK,3,3
BOS,SEA,6,1
BOS,TB,12,7
BOS,TEX,2,4
BOS,TOR,11,8
CHW,BAL,3,4
CHW,BOS,2,4
CHW,CLE,2,17
CHW,DET,7,12
CHW,HOU,3,4
CHW,KC,9,10
CHW,LAA,3,4
CHW,MIN,8,11
CHW,NYY,3,3
CHW,OAK,2,5
CHW,SEA,3,3
CHW,TB,2,5
CHW,TEX,4,2
CHW,TOR,4,3
CLE,BAL,4,3
CLE,BOS,1,6
CLE,CHW,17,2
CLE,DET,4,15
CLE,HOU,6,1
CLE,KC,10,9
CLE,LAA,4,2
CLE,MIN,13,6
CLE,NYY,1,6
CLE,OAK,5,2
CLE,SEA,5,2
CLE,TB,2,4
CLE,TEX,5,1
CLE,TOR,4,2
DET,BAL,2,4
DET,BOS,4,3
DET,CHW,12,7
DET,CLE,15,4
DET,HOU,6,1
DET,KC,9,10
DET,LAA,0,6
DET,MIN,11,8
DET,NYY,3,3
DET,OAK,3,4
DET,SEA,5,2
DET,TB,3,3
DET,TEX,3,4
DET,TOR,5,2
HOU,BAL,2,4
HOU,BOS,1,6
HOU,CHW,4,3
HOU,CLE,1,6
HOU,DET,1,6
HOU,KC,2,4
HOU,LAA,10,9
HOU,MIN,1,5
HOU,NYY,1,5
HOU,OAK,4,15
HOU,SEA,9,10
HOU,TB,2,5
HOU,TEX,2,17
HOU,TOR,3,4
KC,BAL,4,3
KC,BOS,5,2
KC,CHW,10,9
KC,CLE,9,10
KC,DET,10,9
KC,HOU,4,2
KC,LAA,2,5
KC,MIN,15,4
KC,NYY,2,5
KC,OAK,1,5
KC,SEA,4,3
KC,TB,6,1
KC,TEX,3,3
KC,TOR,2,4
LAA,BAL,2,5
LAA,BOS,3,3
LAA,CHW,4,3
LAA,CLE,2,4
LAA,DET,6,0
LAA,HOU,9,10
LAA,KC,5,2
LAA,MIN,1,5
LAA,NYY,3,4
LAA,OAK,8,11
LAA,SEA,11,8
LAA,TB,4,3
LAA,TEX,4,15
LAA,TOR,6,1
MIN,BAL,3,3
MIN,BOS,3,4
MIN,CHW,11,8
MIN,CLE,6,13
MIN,DET,8,11
MIN,HOU,5,1
MIN,KC,4,15
MIN,LAA,5,1
MIN,NYY,2,5
MIN,OAK,1,6
MIN,SEA,4,3
MIN,TB,1,6
MIN,TEX,4,3
MIN,TOR,1,5
NYY,BAL,10,9
NYY,BOS,6,13
NYY,CHW,3,3
NYY,CLE,6,1
NYY,DET,3,3
NYY,HOU,5,1
NYY,KC,5,2
NYY,LAA,4,3
NYY,MIN,5,2
NYY,OAK,1,5
NYY,SEA,4,3
NYY,TB,7,12
NYY,TEX,3,4
NYY,TOR,14,5
OAK,BAL,2,5
OAK,BOS,3,3
OAK,CHW,5,2
OAK,CLE,2,5
OAK,DET,4,3
OAK,HOU,15,4
OAK,KC,5,1
OAK,LAA,11,8
OAK,MIN,6,1
OAK,NYY,5,1
OAK,SEA,8,11
OAK,TB,3,3
OAK,TEX,10,9
OAK,TOR,4,3
SEA,BAL,4,2
SEA,BOS,1,6
SEA,CHW,3,3
SEA,CLE,2,5
SEA,DET,2,5
SEA,HOU,10,9
SEA,KC,3,4
SEA,LAA,8,11
SEA,MIN,3,4
SEA,NYY,3,4
SEA,OAK,11,8
SEA,TB,3,3
SEA,TEX,7,12
SEA,TOR,3,3
TB,BAL,13,6
TB,BOS,7,12
TB,CHW,5,2
TB,CLE,4,2
TB,DET,3,3
TB,HOU,5,2
TB,KC,1,6
TB,LAA,3,4
TB,MIN,6,1
TB,NYY,12,7
TB,OAK,3,3
TB,SEA,3,3
TB,TEX,4,4
TB,TOR,11,8
TEX,BAL,2,5
TEX,BOS,4,2
TEX,CHW,2,4
TEX,CLE,1,5
TEX,DET,4,3
TEX,HOU,17,2
TEX,KC,3,3
TEX,LAA,15,4
TEX,MIN,3,4
TEX,NYY,4,3
TEX,OAK,9,10
TEX,SEA,12,7
TEX,TB,4,4
TEX,TOR,1,6
TOR,BAL,9,10
TOR,BOS,8,11
TOR,CHW,3,4
TOR,CLE,2,4
TOR,DET,2,5
TOR,HOU,4,3
TOR,KC,4,2
TOR,LAA,1,6
TOR,MIN,5,1
TOR,NYY,5,14
TOR,OAK,3,4
TOR,SEA,3,3
TOR,TB,8,11
TOR,TEX,6,1
