Chatham    13   4   0.31   21.90  1837  19787          
Cumberland 12   7   0.58  162.30  1706  16403          
Durham     11   2   0.18  241.60   772  21547          
Edgecombe  10   4   0.40   43.20  1312  15432          
Franklin   18   7   0.39   28.60  1280  14858          
Granville  19   7   0.37   27.90  1390  15191          
Halifax     8   2   0.25   29.50  1893  14587          
Harnett    14   7   0.50   44.00  1557  14525          
Hoke        9   3   0.33   22.60  1016  11921          
Johnston   22  11   0.50   39.60  2061  17450          
Lee         5   2   0.40   62.10   672  19699          
Moore      17  10   0.59   32.60  1829  21458          
Nash       10   3   0.30   54.80  1406  18704          
Orange     10   4   0.40   90.60  1039  21945          
Person      8   4   0.50   29.70  1047  16849          
Scotland    6   2   0.33   40.80   831  15352
Vance       9   4   0.44   59.20   699  15726
Wake       18  13   0.72  196.00  2221  23959
Warren      5   1   0.20   15.50  1150  11989
Wayne      17   7   0.41   73.10  1442  15261
Wilson     12   7   0.58   68.70   969  18596
