Team,Opponent,Wins,Losses
BAL,BOS,11,8
BAL,CHW,5,1
BAL,CLE,3,4
BAL,DET,1,5
BAL,HOU,4,3
BAL,KC,3,4
BAL,LAA,4,2
BAL,MIN,4,3
BAL,NYY,13,6
BAL,OAK,2,4
BAL,SEA,5,2
BAL,TB,12,7
BAL,TEX,6,1
BAL,TOR,11,8
BAL,NL,12,8
BOS,BAL,8,11
BOS,CHW,4,3
BOS,CLE,2,5
BOS,DET,1,5
BOS,HOU,4,3
BOS,KC,6,1
BOS,LAA,2,5
BOS,MIN,4,2
BOS,NYY,7,12
BOS,OAK,3,4
BOS,SEA,1,5
BOS,TB,9,10
BOS,TEX,4,2
BOS,TOR,7,12
BOS,NL,9,11
CHW,BAL,1,5
CHW,BOS,3,4
CHW,CLE,9,10
CHW,DET,9,10
CHW,HOU,3,3
CHW,KC,6,13
CHW,LAA,1,5
CHW,MIN,9,10
CHW,NYY,2,5
CHW,OAK,4,3
CHW,SEA,3,4
CHW,TB,5,2
CHW,TEX,2,4
CHW,TOR,5,2
CHW,NL,11,9
CLE,BAL,4,3
CLE,BOS,5,2
CLE,CHW,10,9
CLE,DET,8,11
CLE,HOU,5,2
CLE,KC,10,9
CLE,LAA,2,5
CLE,MIN,11,8
CLE,NYY,4,3
CLE,OAK,2,4
CLE,SEA,2,4
CLE,TB,4,2
CLE,TEX,6,1
CLE,TOR,2,4
CLE,NL,10,10
DET,BAL,5,1
DET,BOS,5,1
DET,CHW,10,9
DET,CLE,11,8
DET,HOU,4,3
DET,KC,13,6
DET,LAA,3,4
DET,MIN,9,10
DET,NYY,3,4
DET,OAK,5,2
DET,SEA,2,4
DET,TB,3,4
DET,TEX,4,3
DET,TOR,1,5
DET,NL,12,8
HOU,BAL,3,4
HOU,BOS,3,4
HOU,CHW,3,3
HOU,CLE,2,5
HOU,DET,3,4
HOU,KC,3,3
HOU,LAA,7,12
HOU,MIN,3,3
HOU,NYY,4,2
HOU,OAK,8,11
HOU,SEA,9,10
HOU,TB,2,5
HOU,TEX,11,8
HOU,TOR,4,3
HOU,NL,5,15
KC,BAL,4,3
KC,BOS,1,6
KC,CHW,13,6
KC,CLE,9,10
KC,DET,6,13
KC,HOU,3,3
KC,LAA,3,3
KC,MIN,11,8
KC,NYY,4,3
KC,OAK,5,2
KC,SEA,2,5
KC,TB,4,2
KC,TEX,5,1
KC,TOR,4,3
KC,NL,15,5
LAA,BAL,2,4
LAA,BOS,5,2
LAA,CHW,5,1
LAA,CLE,5,2
LAA,DET,4,3
LAA,HOU,12,7
LAA,KC,3,3
LAA,MIN,7,0
LAA,NYY,2,4
LAA,OAK,10,9
LAA,SEA,7,12
LAA,TB,5,2
LAA,TEX,14,5
LAA,TOR,5,2
LAA,NL,12,8
MIN,BAL,3,4
MIN,BOS,2,4
MIN,CHW,10,9
MIN,CLE,8,11
MIN,DET,10,9
MIN,HOU,3,3
MIN,KC,8,11
MIN,LAA,0,7
MIN,NYY,3,4
MIN,OAK,1,6
MIN,SEA,5,2
MIN,TB,2,4
MIN,TEX,2,5
MIN,TOR,4,2
MIN,NL,9,11
NYY,BAL,6,13
NYY,BOS,12,7
NYY,CHW,5,2
NYY,CLE,3,4
NYY,DET,4,3
NYY,HOU,2,4
NYY,KC,3,4
NYY,LAA,4,2
NYY,MIN,4,3
NYY,OAK,2,4
NYY,SEA,3,3
NYY,TB,8,11
NYY,TEX,4,3
NYY,TOR,11,8
NYY,NL,13,7
OAK,BAL,4,2
OAK,BOS,4,3
OAK,CHW,3,4
OAK,CLE,4,2
OAK,DET,2,5
OAK,HOU,11,8
OAK,KC,2,5
OAK,LAA,9,10
OAK,MIN,6,1
OAK,NYY,4,2
OAK,SEA,9,10
OAK,TB,4,2
OAK,TEX,9,10
OAK,TOR,4,3
OAK,NL,13,7
SEA,BAL,2,5
SEA,BOS,5,1
SEA,CHW,4,3
SEA,CLE,4,2
SEA,DET,4,2
SEA,HOU,10,9
SEA,KC,5,2
SEA,LAA,12,7
SEA,MIN,2,5
SEA,NYY,3,3
SEA,OAK,10,9
SEA,TB,4,3
SEA,TEX,9,10
SEA,TOR,4,3
SEA,NL,9,11
TB,BAL,7,12
TB,BOS,10,9
TB,CHW,2,5
TB,CLE,2,4
TB,DET,4,3
TB,HOU,5,2
TB,KC,2,4
TB,LAA,2,5
TB,MIN,4,2
TB,NYY,11,8
TB,OAK,2,4
TB,SEA,3,4
TB,TEX,5,2
TB,TOR,8,11
TB,NL,10,10
TEX,BAL,1,6
TEX,BOS,2,4
TEX,CHW,4,2
TEX,CLE,1,6
TEX,DET,3,4
TEX,HOU,8,11
TEX,KC,1,5
TEX,LAA,5,14
TEX,MIN,5,2
TEX,NYY,3,4
TEX,OAK,10,9
TEX,SEA,10,9
TEX,TB,2,5
TEX,TOR,2,4
TEX,NL,10,10
TOR,BAL,8,11
TOR,BOS,12,7
TOR,CHW,2,5
TOR,CLE,4,2
TOR,DET,5,1
TOR,HOU,3,4
TOR,KC,3,4
TOR,LAA,2,5
TOR,MIN,2,4
TOR,NYY,8,11
TOR,OAK,3,4
TOR,SEA,3,4
TOR,TB,11,8
TOR,TEX,4,2
TOR,NL,13,7
